"Room","Date","Time","Module","Course_Level","Tutorial","Double_module","Class_went_ahead","Capacity","Percentage_room_full","Wifi_Average_logs","Wifi_Max_logs"
1,"2015-11-03",9,"0","0",0,0,1,90,0,4.75,21
1,"2015-11-04",9,"COMP30190","3",0,0,1,90,0.25,13.4545,15
1,"2015-11-05",9,"0","0",0,0,1,90,0,6.8333,29
1,"2015-11-06",9,"COMP30220","3",0,0,1,90,0,2.4167,3
1,"2015-11-09",9,"COMP30190","3",0,0,1,90,0.25,14.7273,18
1,"2015-11-10",9,"0","0",0,0,1,90,0,2.2727,14
1,"2015-11-11",9,"COMP30190","3",0,0,1,90,0.25,11.3636,15
1,"2015-11-12",9,"0","0",0,0,1,90,0,5.8182,13
1,"2015-11-13",9,"COMP30220","3",0,0,1,90,0,6.75,9
1,"2015-11-03",10,"COMP30110","3",0,0,1,90,0.5,29.2727,32
1,"2015-11-04",10,"COMP40660","4",0,0,1,90,0.25,14.4167,18
1,"2015-11-05",10,"COMP30110","3",0,0,1,90,0.5,33.6364,37
1,"2015-11-06",10,"0","0",0,0,1,90,0,5.25,16
1,"2015-11-09",10,"COMP40660","4",0,0,1,90,0.25,16.25,18
1,"2015-11-10",10,"COMP30110","3",0,0,1,90,0,24.3333,28
1,"2015-11-11",10,"COMP40660","4",0,0,1,90,0,11.3333,20
1,"2015-11-12",10,"COMP30110","3",0,0,1,90,0.25,28.8333,46
1,"2015-11-13",10,"0","0",0,0,1,90,0,9,17
1,"2015-11-03",11,"COMP30260","3",0,0,1,90,0.5,28.7273,36
1,"2015-11-04",11,"COMP30250","3",0,0,1,90,0.25,8.3636,14
1,"2015-11-05",11,"COMP40370","4",0,0,1,90,0.25,32.5,39
1,"2015-11-06",11,"COMP30190","3",0,0,1,90,0.25,17.5,23
1,"2015-11-09",11,"0","0",0,0,1,90,0,9.3636,22
1,"2015-11-10",11,"COMP30260","3",0,0,1,90,0.25,21.8333,34
1,"2015-11-11",11,"COMP30250","3",0,0,1,90,0.25,10.9091,21
1,"2015-11-12",11,"COMP40370","4",0,0,1,90,0.25,30.8333,42
1,"2015-11-13",11,"COMP30190","3",0,0,1,90,0,12.3636,19
1,"2015-11-03",12,"COMP40370","4",0,0,1,90,0.5,14.1667,31
1,"2015-11-04",12,"COMP41690","4",1,0,1,90,0.5,33.1818,39
1,"2015-11-05",12,"COMP30260","3",0,0,1,90,0.25,20.75,32
1,"2015-11-06",12,"COMP30190","3",0,0,1,90,0.25,14.0833,18
1,"2015-11-09",12,"COMP30250","3",0,0,1,90,0.25,17.5833,24
1,"2015-11-10",12,"COMP40370","4",0,0,1,90,0.25,34,43
1,"2015-11-11",12,"COMP41690","4",1,0,1,90,0.25,37.0833,44
1,"2015-11-12",12,"COMP30260","3",0,0,1,90,0.25,14.9091,18
